player,clutch_goals_total,ucl_ko_goals,world_cup_ko_goals,euro_ko_goals,clutch_assists_total,ucl_ko_assists,world_cup_ko_assists,euro_ko_assists,clutch_goal_pct
Andres Iniesta,7,4,2,1,12,6,3,3,7.5
Zinedine Zidane,8,3,3,2,10,5,3,2,6.4
