player,goals_per_90,assists_per_90,xg_per_90,shot_accuracy,goal_contribution_rate,pass_completion_pct,passes_per_90,dribble_success_rate,tackles_per_90,pressures_per_90,clutch_goals,clutch_assists,big_game_goal_rate,seasons_elite,total_minutes,peak_years,longevity_score,ballon_dor_wins,ballon_dor_top3,major_honours_count,fifpro_xi_selections
Andres Iniesta,0.13,0.23,0.106,33.3,0.289,90.5,65.5,85.0,2.01,N/A (not in source data),7,12,0.7119,8,62987,8,24,0,1,19,9
Zinedine Zidane,0.21,0.22,N/A (pre-analytics era),N/A (pre-analytics era),0.365,82.0,N/A (pre-analytics era),75.0,N/A (pre-analytics era),N/A (not in source data),8,10,1.045,10,52364,10,16,1,5,9,4
