player,season,matches,goals,assists,passes,pass_completed,pass_pct,shots,shots_ontarget,tackles,fouls,dribbles,xg,minutes_est
Zinedine Zidane,2004-2005,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
Zinedine Zidane,2005-2006,1,0,0,59,45,76.3,0,0,6,0,0,0.0,90
