player,season,matches,goals,assists,passes,pass_completed,pass_pct,shots,shots_ontarget,tackles,fouls,dribbles,xg,minutes_est
Andres Iniesta,2008-2009,1,0,1,71,66,93.0,2,1,1,0,0,0.08,92
Andres Iniesta,2009-2010,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0
Andres Iniesta,2010-2011,1,0,1,117,107,91.5,5,3,0,0,0,0.11,92
Andres Iniesta,2014-2015,1,0,1,56,50,89.3,0,0,1,0,0,0.0,77
